city,city_ascii,state_id,state_name,county_fips,county_name
Gorman,Gorman,TX,Texas,48133,Eastland
Chauncey,Chauncey,OH,Ohio,39009,Athens
Egypt,Egypt,AL,Alabama,1055,Etowah
Ouray,Ouray,CO,Colorado,8091,Ouray
Taylors Falls,Taylors Falls,MN,Minnesota,27025,Chisago
Milford Square,Milford Square,PA,Pennsylvania,42017,Bucks
Island City,Island City,OR,Oregon,41061,Union
Point Venture,Point Venture,TX,Texas,48453,Travis
Riverdale Park,Riverdale Park,CA,California,6099,Stanislaus
Carlton,Carlton,MN,Minnesota,27017,Carlton
Thornton,Thornton,CA,California,6077,San Joaquin
Sunman,Sunman,IN,Indiana,18137,Ripley
Fairhope,Fairhope,PA,Pennsylvania,42051,Fayette
Maypearl,Maypearl,TX,Texas,48139,Ellis
Wakeman,Wakeman,OH,Ohio,39077,Huron
Hill City,Hill City,SD,South Dakota,46103,Pennington
Potter Lake,Potter Lake,WI,Wisconsin,55127,Walworth
New Bedford,New Bedford,PA,Pennsylvania,42073,Lawrence
Rosendale,Rosendale,WI,Wisconsin,55039,Fond du Lac
Meigs,Meigs,GA,Georgia,13275,Thomas
New Philadelphia,New Philadelphia,PA,Pennsylvania,42107,Schuylkill
Fairland,Fairland,OK,Oklahoma,40115,Ottawa
Belle Vernon,Belle Vernon,PA,Pennsylvania,42051,Fayette
Horatio,Horatio,AR,Arkansas,5133,Sevier
Fanning Springs,Fanning Springs,FL,Florida,12041,Gilchrist
Arp,Arp,TX,Texas,48423,Smith
St. Jo,St. Jo,TX,Texas,48337,Montague
Velda Village Hills,Velda Village Hills,MO,Missouri,29189,St. Louis
Central City,Central City,PA,Pennsylvania,42111,Somerset
Melville,Melville,LA,Louisiana,22097,St. Landry
Plummer,Plummer,ID,Idaho,16009,Benewah
Kibler,Kibler,AR,Arkansas,5033,Crawford
Alexandria Bay,Alexandria Bay,NY,New York,36045,Jefferson
Wink,Wink,TX,Texas,48495,Winkler
Newark,Newark,IL,Illinois,17093,Kendall
Castle Hayne,Castle Hayne,NC,North Carolina,37129,New Hanover
Celoron,Celoron,NY,New York,36013,Chautauqua
Lynn,Lynn,IN,Indiana,18135,Randolph
Luxora,Luxora,AR,Arkansas,5093,Mississippi
University Heights,University Heights,IA,Iowa,19103,Johnson
Lovington,Lovington,IL,Illinois,17139,Moultrie
Abbottstown,Abbottstown,PA,Pennsylvania,42001,Adams
Point Lookout,Point Lookout,NY,New York,36059,Nassau
Wurtland,Wurtland,KY,Kentucky,21089,Greenup
Schurz,Schurz,NV,Nevada,32021,Mineral
Glandorf,Glandorf,OH,Ohio,39137,Putnam
Cascade,Cascade,ID,Idaho,16085,Valley
De Soto,De Soto,IA,Iowa,19049,Dallas
Pen Mar,Pen Mar,PA,Pennsylvania,42055,Franklin
Rhodhiss,Rhodhiss,NC,North Carolina,37027,Caldwell
Dickeyville,Dickeyville,WI,Wisconsin,55043,Grant
Lily Lake,Lily Lake,IL,Illinois,17089,Kane
Callender Lake,Callender Lake,TX,Texas,48467,Van Zandt
Groveton,Groveton,TX,Texas,48455,Trinity
Pocono Pines,Pocono Pines,PA,Pennsylvania,42089,Monroe
Parker,Parker,SD,South Dakota,46125,Turner
Overbrook,Overbrook,KS,Kansas,20139,Osage
Riverside,Riverside,IA,Iowa,19183,Washington
Lake Waynoka,Lake Waynoka,OH,Ohio,39015,Brown
Royalton,Royalton,PA,Pennsylvania,42043,Dauphin
Bolivar,Bolivar,WV,West Virginia,54037,Jefferson
Paradise,Paradise,UT,Utah,49005,Cache
Delevan,Delevan,NY,New York,36009,Cattaraugus
Mallory,Mallory,WV,West Virginia,54045,Logan
Tyndall,Tyndall,SD,South Dakota,46009,Bon Homme
Lincoln,Lincoln,PA,Pennsylvania,42003,Allegheny
Lyndon,Lyndon,KS,Kansas,20139,Osage
Thompson,Thompson,ND,North Dakota,38035,Grand Forks
Pierceton,Pierceton,IN,Indiana,18085,Kosciusko
Plains,Plains,KS,Kansas,20119,Meade
Kenmare,Kenmare,ND,North Dakota,38101,Ward
Hart,Hart,TX,Texas,48069,Castro
Afton,Afton,OK,Oklahoma,40115,Ottawa
Mantua,Mantua,OH,Ohio,39133,Portage
Gaston,Gaston,NC,North Carolina,37131,Northampton
Beale AFB,Beale AFB,CA,California,6115,Yuba
Watterson Park,Watterson Park,KY,Kentucky,21111,Jefferson
McCloud,McCloud,CA,California,6093,Siskiyou
Baudette,Baudette,MN,Minnesota,27077,Lake of the Woods
Altamont,Altamont,KS,Kansas,20099,Labette
Cape Charles,Cape Charles,VA,Virginia,51131,Northampton
Heath Springs,Heath Springs,SC,South Carolina,45057,Lancaster
San Pablo,San Pablo,NM,New Mexico,35013,Doña Ana
Julian,Julian,CA,California,6073,San Diego
Plandome Heights,Plandome Heights,NY,New York,36059,Nassau
Chetopa,Chetopa,KS,Kansas,20099,Labette
Silverado Resort,Silverado Resort,CA,California,6055,Napa
Bradner,Bradner,OH,Ohio,39173,Wood
Kingston,Kingston,OH,Ohio,39141,Ross
Shongopovi,Shongopovi,AZ,Arizona,4017,Navajo
Elkhart Lake,Elkhart Lake,WI,Wisconsin,55117,Sheboygan
María Antonia,Maria Antonia,PR,Puerto Rico,72055,Guánica
Gray,Gray,TN,Tennessee,47179,Washington
Friars Point,Friars Point,MS,Mississippi,28027,Coahoma
Walton,Walton,IN,Indiana,18017,Cass
Cedar Ridge,Cedar Ridge,CA,California,6109,Tuolumne
Dasher,Dasher,GA,Georgia,13185,Lowndes
Danville,Danville,OH,Ohio,39083,Knox
Seabrook Beach,Seabrook Beach,NH,New Hampshire,33015,Rockingham
Browning,Browning,MT,Montana,30035,Glacier
Rosiclare,Rosiclare,IL,Illinois,17069,Hardin
New London,New London,TX,Texas,48401,Rusk
Rapids,Rapids,NY,New York,36063,Niagara
Yoe,Yoe,PA,Pennsylvania,42133,York
Peggs,Peggs,OK,Oklahoma,40021,Cherokee
Oilton,Oilton,OK,Oklahoma,40037,Creek
Quogue,Quogue,NY,New York,36103,Suffolk
Colfax,Colfax,IL,Illinois,17113,McLean
Keewatin,Keewatin,MN,Minnesota,27061,Itasca
Leesburg,Leesburg,AL,Alabama,1019,Cherokee
Grimsley,Grimsley,TN,Tennessee,47049,Fentress
Eclectic,Eclectic,AL,Alabama,1051,Elmore
Alleghenyville,Alleghenyville,PA,Pennsylvania,42011,Berks
Alexandria,Alexandria,TN,Tennessee,47041,DeKalb
Edinburg,Edinburg,IL,Illinois,17021,Christian
Belfield,Belfield,ND,North Dakota,38089,Stark
Pinesdale,Pinesdale,MT,Montana,30081,Ravalli
Palmer,Palmer,PR,Puerto Rico,72119,Río Grande
Ramsey,Ramsey,IL,Illinois,17051,Fayette
Coal Hill,Coal Hill,AR,Arkansas,5071,Johnson
Lemont Furnace,Lemont Furnace,PA,Pennsylvania,42051,Fayette
Cyril,Cyril,OK,Oklahoma,40015,Caddo
Cobb,Cobb,CA,California,6033,Lake
Red Lick,Red Lick,TX,Texas,48037,Bowie
Seelyville,Seelyville,IN,Indiana,18167,Vigo
Goshen,Goshen,KY,Kentucky,21185,Oldham
Enterprise,Enterprise,WV,West Virginia,54033,Harrison
Odin,Odin,IL,Illinois,17121,Marion
Willards,Willards,MD,Maryland,24045,Wicomico
Wilhoit,Wilhoit,AZ,Arizona,4025,Yavapai
Cherokee,Cherokee,AL,Alabama,1033,Colbert
Richton,Richton,MS,Mississippi,28111,Perry
Beckemeyer,Beckemeyer,IL,Illinois,17027,Clinton
Tesuque,Tesuque,NM,New Mexico,35049,Santa Fe
Thornville,Thornville,OH,Ohio,39127,Perry
Waldo,Waldo,FL,Florida,12001,Alachua
Eddyville,Eddyville,IA,Iowa,19179,Wapello
McCullom Lake,McCullom Lake,IL,Illinois,17111,McHenry
North Bonneville,North Bonneville,WA,Washington,53059,Skamania
Santa Anna,Santa Anna,TX,Texas,48083,Coleman
North English,North English,IA,Iowa,19095,Iowa
De Kalb,De Kalb,MS,Mississippi,28069,Kemper
Worthing,Worthing,SD,South Dakota,46083,Lincoln
Eustace,Eustace,TX,Texas,48213,Henderson
North Branch,North Branch,MI,Michigan,26087,Lapeer
Winfield,Winfield,TN,Tennessee,47151,Scott
New Cumberland,New Cumberland,WV,West Virginia,54029,Hancock
Masaryktown,Masaryktown,FL,Florida,12053,Hernando
Winchester,Winchester,OH,Ohio,39001,Adams
Vander,Vander,NC,North Carolina,37051,Cumberland
Salcha,Salcha,AK,Alaska,2090,Fairbanks North Star
Pala,Pala,CA,California,6073,San Diego
Rushmere,Rushmere,VA,Virginia,51093,Isle of Wight
Mount Ida,Mount Ida,AR,Arkansas,5097,Montgomery
Chalfant,Chalfant,CA,California,6051,Mono
Tilghman Island,Tilghman Island,MD,Maryland,24041,Talbot
Edwards,Edwards,MS,Mississippi,28049,Hinds
Yorkville,Yorkville,OH,Ohio,39013,Belmont
Wanatah,Wanatah,IN,Indiana,18091,LaPorte
South Waverly,South Waverly,PA,Pennsylvania,42015,Bradford
Grand Rapids,Grand Rapids,OH,Ohio,39173,Wood
Tolar,Tolar,TX,Texas,48221,Hood
Casa Blanca,Casa Blanca,AZ,Arizona,4021,Pinal
Talmage,Talmage,CA,California,6045,Mendocino
Tuttletown,Tuttletown,CA,California,6109,Tuolumne
Pennsboro,Pennsboro,WV,West Virginia,54085,Ritchie
Farmersville,Farmersville,OH,Ohio,39113,Montgomery
Beaverdale,Beaverdale,IA,Iowa,19057,Des Moines
Lakeview,Lakeview,MI,Michigan,26117,Montcalm
Cambridge,Cambridge,NE,Nebraska,31065,Furnas
McConnellsburg,McConnellsburg,PA,Pennsylvania,42057,Fulton
Sultana,Sultana,CA,California,6107,Tulare
Audubon Park,Audubon Park,NJ,New Jersey,34007,Camden
Scio,Scio,OR,Oregon,41043,Linn
Electric City,Electric City,WA,Washington,53025,Grant
Cedar Bluff,Cedar Bluff,VA,Virginia,51185,Tazewell
Manassa,Manassa,CO,Colorado,8021,Conejos
West Cape May,West Cape May,NJ,New Jersey,34009,Cape May
Halsey,Halsey,OR,Oregon,41043,Linn
Trappe,Trappe,MD,Maryland,24041,Talbot
Bude,Bude,MS,Mississippi,28037,Franklin
Clarks,Clarks,LA,Louisiana,22021,Caldwell
King Cove,King Cove,AK,Alaska,2013,Aleutians East
Solomon,Solomon,KS,Kansas,20041,Dickinson
McAlisterville,McAlisterville,PA,Pennsylvania,42067,Juniata
Cove Creek,Cove Creek,NC,North Carolina,37189,Watauga
Bronte,Bronte,TX,Texas,48081,Coke
Erick,Erick,OK,Oklahoma,40009,Beckham
Hulmeville,Hulmeville,PA,Pennsylvania,42017,Bucks
Shady Point,Shady Point,OK,Oklahoma,40079,Le Flore
Falls Creek,Falls Creek,PA,Pennsylvania,42065,Jefferson
Lucerne Mines,Lucerne Mines,PA,Pennsylvania,42063,Indiana
East Marion,East Marion,NY,New York,36103,Suffolk
Oxford,Oxford,KS,Kansas,20191,Sumner
Enlow,Enlow,PA,Pennsylvania,42003,Allegheny
Washington Boro,Washington Boro,PA,Pennsylvania,42071,Lancaster
Nickerson,Nickerson,KS,Kansas,20155,Reno
Sedan,Sedan,KS,Kansas,20019,Chautauqua
St. George,St. George,KS,Kansas,20149,Pottawatomie
Wattsville,Wattsville,VA,Virginia,51001,Accomack
Greenwood,Greenwood,WI,Wisconsin,55019,Clark
Columbus,Columbus,NC,North Carolina,37149,Polk
Morrisonville,Morrisonville,IL,Illinois,17021,Christian
Sterling City,Sterling City,TX,Texas,48431,Sterling
Hideout,Hideout,UT,Utah,49051,Wasatch
Parkers Prairie,Parkers Prairie,MN,Minnesota,27111,Otter Tail
Millington,Millington,MI,Michigan,26157,Tuscola
Ladoga,Ladoga,IN,Indiana,18107,Montgomery
Waverly,Waverly,FL,Florida,12105,Polk
Thornport,Thornport,OH,Ohio,39127,Perry
Dexter,Dexter,NY,New York,36045,Jefferson
Scobey,Scobey,MT,Montana,30019,Daniels
Wortham,Wortham,TX,Texas,48161,Freestone
Athens,Athens,MI,Michigan,26025,Calhoun
Pastoria,Pastoria,VA,Virginia,51001,Accomack
Lakeport,Lakeport,TX,Texas,48183,Gregg
Pickens,Pickens,MS,Mississippi,28051,Holmes
Highland,Highland,KS,Kansas,20043,Doniphan
Spring Glen,Spring Glen,UT,Utah,49007,Carbon
Morristown,Morristown,MN,Minnesota,27131,Rice
Chumuckla,Chumuckla,FL,Florida,12113,Santa Rosa
Maringouin,Maringouin,LA,Louisiana,22047,Iberville
Chelyan,Chelyan,WV,West Virginia,54039,Kanawha
Doe Run,Doe Run,MO,Missouri,29187,St. Francois
La Union,La Union,NM,New Mexico,35013,Doña Ana
Aspen Park,Aspen Park,CO,Colorado,8059,Jefferson
Ennis,Ennis,MT,Montana,30057,Madison
Albany,Albany,WI,Wisconsin,55045,Green
Martin's Additions,Martin's Additions,MD,Maryland,24031,Montgomery
Urbancrest,Urbancrest,OH,Ohio,39049,Franklin
Poipu,Poipu,HI,Hawaii,15007,Kauai
Round Hill Village,Round Hill Village,NV,Nevada,32005,Douglas
Libertytown,Libertytown,MD,Maryland,24021,Frederick
Kidron,Kidron,OH,Ohio,39169,Wayne
Wayne City,Wayne City,IL,Illinois,17191,Wayne
West Kennebunk,West Kennebunk,ME,Maine,23031,York
Rowland,Rowland,NC,North Carolina,37155,Robeson
King City,King City,MO,Missouri,29075,Gentry
Chama,Chama,NM,New Mexico,35039,Rio Arriba
Burgin,Burgin,KY,Kentucky,21167,Mercer
Littleville,Littleville,AL,Alabama,1033,Colbert
Almedia,Almedia,PA,Pennsylvania,42037,Columbia
Salamatof,Salamatof,AK,Alaska,2122,Kenai Peninsula
Penryn,Penryn,PA,Pennsylvania,42071,Lancaster
Turtle Lake,Turtle Lake,WI,Wisconsin,55005,Barron
Ilwaco,Ilwaco,WA,Washington,53049,Pacific
Parkin,Parkin,AR,Arkansas,5037,Cross
Rockwell,Rockwell,IA,Iowa,19033,Cerro Gordo
Hawesville,Hawesville,KY,Kentucky,21091,Hancock
Goodland,Goodland,IN,Indiana,18111,Newton
Payson,Payson,IL,Illinois,17001,Adams
Rolling Hills,Rolling Hills,KY,Kentucky,21111,Jefferson
New Salem,New Salem,ND,North Dakota,38059,Morton
March ARB,March ARB,CA,California,6065,Riverside
Tabor,Tabor,IA,Iowa,19071,Fremont
Wittenberg,Wittenberg,WI,Wisconsin,55115,Shawano
Saddle Rock,Saddle Rock,NY,New York,36059,Nassau
North Randall,North Randall,OH,Ohio,39035,Cuyahoga
Sutton,Sutton,WV,West Virginia,54007,Braxton
Macy,Macy,NE,Nebraska,31173,Thurston
Greenfield,Greenfield,IL,Illinois,17061,Greene
Frankford,Frankford,DE,Delaware,10005,Sussex
Sloan,Sloan,IA,Iowa,19193,Woodbury
Andale,Andale,KS,Kansas,20173,Sedgwick
Caldwell,Caldwell,KS,Kansas,20191,Sumner
New London,New London,MO,Missouri,29173,Ralls
Harmony,Harmony,MN,Minnesota,27045,Fillmore
Greene,Greene,RI,Rhode Island,44003,Kent
Sanborn,Sanborn,NY,New York,36063,Niagara
Harlowton,Harlowton,MT,Montana,30107,Wheatland
Montezuma,Montezuma,IN,Indiana,18121,Parke
Sedillo,Sedillo,NM,New Mexico,35001,Bernalillo
Muldraugh,Muldraugh,KY,Kentucky,21163,Meade
Cross Plains,Cross Plains,TX,Texas,48059,Callahan
Blue Mounds,Blue Mounds,WI,Wisconsin,55025,Dane
Goodfield,Goodfield,IL,Illinois,17203,Woodford
Ruch,Ruch,OR,Oregon,41029,Jackson
Janesville,Janesville,IA,Iowa,19017,Bremer
Gulf Stream,Gulf Stream,FL,Florida,12099,Palm Beach
Quinton,Quinton,OK,Oklahoma,40121,Pittsburg
East Tawakoni,East Tawakoni,TX,Texas,48379,Rains
Henderson,Henderson,NE,Nebraska,31185,York
Quebrada,Quebrada,PR,Puerto Rico,72027,Camuy
Kittery Point,Kittery Point,ME,Maine,23031,York
Tumbling Shoals,Tumbling Shoals,AR,Arkansas,5023,Cleburne
Lookingglass,Lookingglass,OR,Oregon,41019,Douglas
Chums Corner,Chums Corner,MI,Michigan,26055,Grand Traverse
Etna,Etna,OH,Ohio,39089,Licking
Hollywood,Hollywood,AL,Alabama,1071,Jackson
Seneca,Seneca,PA,Pennsylvania,42121,Venango
Morgantown,Morgantown,IN,Indiana,18109,Morgan
Ironville,Ironville,KY,Kentucky,21019,Boyd
Lime Ridge,Lime Ridge,PA,Pennsylvania,42037,Columbia
Cooleemee,Cooleemee,NC,North Carolina,37059,Davie
Summitville,Summitville,IN,Indiana,18095,Madison
Hillburn,Hillburn,NY,New York,36087,Rockland
Milford,Milford,PA,Pennsylvania,42103,Pike
Fruitland,Fruitland,IA,Iowa,19139,Muscatine
Balsam Lake,Balsam Lake,WI,Wisconsin,55095,Polk
Taft Southwest,Taft Southwest,TX,Texas,48409,San Patricio
Coyne Center,Coyne Center,IL,Illinois,17161,Rock Island
Highlands,Highlands,NC,North Carolina,37113,Macon
Beach City,Beach City,OH,Ohio,39151,Stark
Squirrel Mountain Valley,Squirrel Mountain Valley,CA,California,6029,Kern
Mustang Ridge,Mustang Ridge,TX,Texas,48453,Travis
Choudrant,Choudrant,LA,Louisiana,22061,Lincoln
Ashley,Ashley,IN,Indiana,18033,DeKalb
Machias,Machias,WA,Washington,53061,Snohomish
Westlake Corner,Westlake Corner,VA,Virginia,51067,Franklin
Omaha,Omaha,TX,Texas,48343,Morris
Bristol,Bristol,FL,Florida,12077,Liberty
Chevy Chase View,Chevy Chase View,MD,Maryland,24031,Montgomery
Stoneboro,Stoneboro,PA,Pennsylvania,42085,Mercer
Fort Calhoun,Fort Calhoun,NE,Nebraska,31177,Washington
Fairton,Fairton,NJ,New Jersey,34011,Cumberland
Millport,Millport,AL,Alabama,1075,Lamar
Ganado,Ganado,AZ,Arizona,4001,Apache
Lawton,Lawton,IA,Iowa,19193,Woodbury
Boyce,Boyce,LA,Louisiana,22079,Rapides
Accoville,Accoville,WV,West Virginia,54045,Logan
Taylorsville,Taylorsville,IN,Indiana,18005,Bartholomew
Whitewood,Whitewood,SD,South Dakota,46081,Lawrence
Scotts Hill,Scotts Hill,TN,Tennessee,47039,Decatur
Logan,Logan,NM,New Mexico,35037,Quay
Henefer,Henefer,UT,Utah,49043,Summit
Lazy Acres,Lazy Acres,CO,Colorado,8013,Boulder
Lightstreet,Lightstreet,PA,Pennsylvania,42037,Columbia
Linton,Linton,ND,North Dakota,38029,Emmons
San Miguel,San Miguel,NM,New Mexico,35013,Doña Ana
Bradford,Bradford,TN,Tennessee,47053,Gibson
Sunflower,Sunflower,MS,Mississippi,28133,Sunflower
Palo Alto,Palo Alto,PA,Pennsylvania,42107,Schuylkill
Tulelake,Tulelake,CA,California,6093,Siskiyou
Auxvasse,Auxvasse,MO,Missouri,29027,Callaway
Kootenai,Kootenai,ID,Idaho,16017,Bonner
Cane Savannah,Cane Savannah,SC,South Carolina,45085,Sumter
Elsie,Elsie,MI,Michigan,26037,Clinton
Ellerbe,Ellerbe,NC,North Carolina,37153,Richmond
Mexico,Mexico,IN,Indiana,18103,Miami
Bay Head,Bay Head,NJ,New Jersey,34029,Ocean
Monte Rio,Monte Rio,CA,California,6097,Sonoma
Paullina,Paullina,IA,Iowa,19141,O'Brien
Sterrett,Sterrett,AL,Alabama,1117,Shelby
Hightsville,Hightsville,NC,North Carolina,37129,New Hanover
Thrall,Thrall,TX,Texas,48491,Williamson
Bennet,Bennet,NE,Nebraska,31109,Lancaster
Linesville,Linesville,PA,Pennsylvania,42039,Crawford
Corvallis,Corvallis,MT,Montana,30081,Ravalli
Arapahoe,Arapahoe,NE,Nebraska,31065,Furnas
Lawrence,Lawrence,MI,Michigan,26159,Van Buren
Belmont,Belmont,WI,Wisconsin,55065,Lafayette
Clarence,Clarence,IA,Iowa,19031,Cedar
McGraw,McGraw,NY,New York,36023,Cortland
Stonewall,Stonewall,MS,Mississippi,28023,Clarke
Wanblee,Wanblee,SD,South Dakota,46071,Jackson
Buffalo Soapstone,Buffalo Soapstone,AK,Alaska,2170,Matanuska-Susitna
Kaumakani,Kaumakani,HI,Hawaii,15007,Kauai
Napoleon,Napoleon,MI,Michigan,26075,Jackson
Derma,Derma,MS,Mississippi,28013,Calhoun
Rice,Rice,TX,Texas,48349,Navarro
Poca,Poca,WV,West Virginia,54079,Putnam
Alcorn State University,Alcorn State University,MS,Mississippi,28021,Claiborne
Bluewater,Bluewater,AZ,Arizona,4012,La Paz
Tahoma,Tahoma,CA,California,6061,Placer
Dunlap,Dunlap,IA,Iowa,19085,Harrison
Roberta,Roberta,GA,Georgia,13079,Crawford
Allison,Allison,IA,Iowa,19023,Butler
Loup City,Loup City,NE,Nebraska,31163,Sherman
St. Joseph,St. Joseph,LA,Louisiana,22107,Tensas
Buhl,Buhl,MN,Minnesota,27137,St. Louis
Laurys Station,Laurys Station,PA,Pennsylvania,42077,Lehigh
Shellsburg,Shellsburg,IA,Iowa,19011,Benton
Sunrise Lake,Sunrise Lake,PA,Pennsylvania,42103,Pike
Jasper,Jasper,MO,Missouri,29097,Jasper
Meredosia,Meredosia,IL,Illinois,17137,Morgan
Gideon,Gideon,MO,Missouri,29143,New Madrid
Earth,Earth,TX,Texas,48279,Lamb
Keota,Keota,IA,Iowa,19107,Keokuk
Papaikou,Papaikou,HI,Hawaii,15001,Hawaii
Chebanse,Chebanse,IL,Illinois,17091,Kankakee
Franklin,Franklin,GA,Georgia,13149,Heard
